City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Hilo,US,80.6,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
16,Port Blair,IN,80.89,light rain,11.67,92.75,Fortune Resort Bay Island
20,Pontianak,ID,76.75,moderate rain,-0.03,109.33,Aston Pontianak Hotel & Convention Center
23,Tchollire,CM,81.07,few clouds,8.4,14.17,"Auberge ""l'amicale"""
30,Butaritari,KI,80.58,overcast clouds,3.07,172.79,Isles Sunset Lodge
34,Yendi,GH,85.55,overcast clouds,9.44,-0.01,Eyarro Lodge
40,Vaini,TO,75.2,few clouds,-21.2,-175.2,Keleti Beach Resort
44,Morant Bay,JM,77.0,shower rain,17.88,-76.41,Whispering Bamboo Cove Resort
45,Bosaso,SO,76.05,clear sky,11.28,49.18,Red Sea Hotel
52,Bogande,BF,88.52,clear sky,12.97,-0.14,Auberge Wendkouni
55,Maceio,BR,84.2,clear sky,-9.67,-35.74,Mercure Maceio Pajucara Hotel
56,San Vicente,AR,79.02,clear sky,-26.62,-54.13,Complejo Turístico Farelluk
60,Abu Dhabi,AE,80.6,clear sky,24.47,54.37,Beach Rotana
61,Ahuimanu,US,82.4,overcast clouds,21.44,-157.84,Paradise Bay Resort
65,Toamasina,MG,75.2,scattered clouds,-18.17,49.38,Hotel H1
66,Touros,BR,86.0,few clouds,-5.2,-35.46,INN NEW HORIZON
69,Faanui,PF,79.61,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
70,Axim,GH,79.99,broken clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
76,Cochabamba,BO,84.2,few clouds,-17.39,-66.16,Hotel Aranjuez Cochabamba
81,Mineiros,BR,85.77,clear sky,-17.57,-52.55,Pilões Palace Hotel
93,Hithadhoo,MV,83.39,scattered clouds,-0.6,73.08,Scoop Guest House
98,Djibo,BF,89.46,clear sky,14.1,-1.63,Centre Des Ressources DPENA
102,Aiquile,BO,77.97,few clouds,-18.2,-65.18,Hotel Santa Ana
103,Mitsamiouli,KM,78.17,clear sky,-11.38,43.28,Foyer ADM
104,Cabo San Lucas,MX,88.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
105,Basoko,CD,75.47,moderate rain,1.24,23.62,Flat Hotel La Benediction
106,Itaituba,BR,89.6,light rain,-4.28,-55.98,Hotel Campos
107,Vanimo,PG,78.48,very heavy rain,-2.67,141.3,Vahmoneh Lodge Vanimo
108,Atuona,PF,78.75,light rain,-9.8,-139.03,Villa Enata
110,Kapaa,US,82.0,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
116,Santa Maria,BR,75.2,few clouds,-29.68,-53.81,Hotel Morotin
119,Sao Joao Da Barra,BR,77.0,clear sky,-21.64,-41.05,Pousada Porto De Canoas
126,Kuching,MY,75.2,light rain,1.55,110.33,Hilton Kuching
127,Caramay,PH,79.25,light rain,10.18,119.24,Peace and Love Beach Club
128,Kahului,US,84.2,scattered clouds,20.89,-156.47,Maui Seaside Hotel
129,Coahuayana,MX,87.8,few clouds,18.73,-103.68,Hotel Los Arcos
130,Samana,DO,87.8,few clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
139,Harper,LR,79.03,broken clouds,4.38,-7.72,Screensaver
141,Ternate,ID,80.11,few clouds,0.8,127.4,Grand Dafam Bela Ternate
146,Sabang,ID,81.52,overcast clouds,5.89,95.32,Hotel Citra
158,Tres Picos,MX,86.67,overcast clouds,15.87,-93.53,HOTEL TRES PICOS
159,Matamoros,MX,77.0,clear sky,25.53,-103.25,Recreativo Sabdy Briseidy
160,Bengkulu,ID,75.49,heavy intensity rain,-3.8,102.27,Grage Hotel Bengkulu
166,Guerrero Negro,MX,82.0,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
167,Puerto Ayora,EC,80.6,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
168,Am Timan,TD,86.59,broken clouds,11.03,20.28,Palais du chef Canton Salamt
177,Rawson,AR,76.75,scattered clouds,-43.3,-65.1,Hotel Punta León
178,Bathsheba,BB,86.0,few clouds,13.22,-59.52,Atlantis Hotel
182,Sechura,PE,75.99,few clouds,-5.56,-80.82,Hospedaje Costa Bella
185,Cassilandia,BR,89.49,clear sky,-19.11,-51.73,Hotel Rafa Cassilândia
189,Mecca,SA,78.31,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
196,Buchanan,LR,80.6,thunderstorm,5.88,-10.05,Kamaneahn Hotel Inc
198,Villarrica,PY,88.45,clear sky,-25.75,-56.43,Mansión Reljuv Tours SA
199,Becerril,CO,82.78,moderate rain,9.7,-73.28,Hotel Carlington
202,Bahia Honda,CU,79.61,moderate rain,22.9,-83.16,Casa Gualberto - Deysi
211,Tautira,PF,84.2,scattered clouds,-17.73,-149.15,Pension Oaoa
215,Buala,SB,81.19,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
216,Georgetown,MY,80.01,few clouds,5.41,100.34,Cititel Penang
217,Diego De Almagro,CL,77.63,clear sky,-26.37,-70.05,hotel luna del desierto
222,Manali,IN,80.6,mist,13.17,80.27,Sarathy Lodge
238,Vila Velha,BR,75.99,overcast clouds,-20.33,-40.29,Hotel Vitória Palace
251,Alausi,EC,77.0,few clouds,-2.2,-78.83,Hotel Europa
261,Mogadishu,SO,79.27,scattered clouds,2.04,45.34,Hotel Juba
262,Goya,AR,78.24,overcast clouds,-29.14,-59.26,Apart Costanera
265,Lompoc,US,75.0,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
270,Bol,TD,84.94,overcast clouds,13.46,14.71,Hotel 3 Etoiles
275,Cerrito,CO,77.0,scattered clouds,6.84,-72.69,Finca Lulu
276,Luanda,AO,78.8,few clouds,-8.84,13.23,EPIC SANA Luanda
279,Kulhudhuffushi,MV,82.24,clear sky,6.62,73.07,Haajy Guest House 1
281,Akyab,MM,78.91,clear sky,20.15,92.9,Hotel Memory
292,Alofi,NU,77.0,few clouds,-19.06,-169.92,Taloa Heights
297,Pandan,PH,78.85,light rain,14.05,124.17,Bonifacio Lodge
303,San Carlos Del Zulia,VE,87.35,light rain,9.0,-71.91,CHS
304,Barinas,VE,84.97,light rain,8.62,-70.21,Hotel Suites Mastranto
305,Arraial Do Cabo,BR,75.2,broken clouds,-22.97,-42.03,Pousada Porto Praia
306,Vila Do Maio,CV,78.8,clear sky,15.13,-23.22,Residence 'I Delfini'
311,Acari,PE,79.41,clear sky,-15.43,-74.62,Hospedaje Ximens
316,Mount Isa,AU,75.2,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
320,Dingle,PH,76.06,light rain,11.0,122.67,Camp Pasica
325,Champerico,GT,87.8,scattered clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
326,Kupang,ID,79.2,broken clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
334,Cururupu,BR,86.32,overcast clouds,-1.83,-44.87,Pousada Través'cia
341,Bartica,GY,78.8,light rain,6.4,-58.62,La Vista Hotel and Apartment
353,Turayf,SA,78.8,clear sky,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
357,Bonthe,SL,79.41,heavy intensity rain,7.53,-12.51,Bonthe Holiday Village
358,Hobyo,SO,81.07,light rain,5.35,48.53,Osmani Hotel
