City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bambous Virieux,MU,-20.34,57.76,73.0,83,75,6.93,shower rain
1,Qaanaaq,GL,77.48,-69.36,-1.98,87,99,1.25,overcast clouds
2,Torbay,CA,47.67,-52.73,30.0,58,75,18.34,broken clouds
3,Ales,FR,44.13,4.08,53.01,56,26,8.01,scattered clouds
4,Saint-Philippe,RE,-21.36,55.77,73.4,56,75,11.41,broken clouds
5,East London,ZA,-33.02,27.91,69.8,83,75,5.82,broken clouds
6,Castro,BR,-24.79,-50.01,65.21,69,0,8.39,light rain
7,Saskylakh,RU,71.92,114.08,-3.53,91,97,5.26,overcast clouds
8,Hilo,US,19.73,-155.09,80.6,74,90,5.82,overcast clouds
9,Barkly West,ZA,-28.54,24.52,66.2,77,100,3.36,moderate rain
10,Tiksi,RU,71.69,128.87,1.24,94,100,4.79,overcast clouds
11,Busselton,AU,-33.65,115.33,52.0,77,100,3.0,overcast clouds
12,Nizhniy Baskunchak,RU,48.22,46.83,53.51,45,0,4.34,clear sky
13,Upington,ZA,-28.45,21.26,69.8,60,100,10.29,light rain
14,Sayyan,YE,15.17,44.32,50.74,42,0,2.13,clear sky
15,Tasiilaq,GL,65.61,-37.64,33.8,50,40,9.17,scattered clouds
16,Port Blair,IN,11.67,92.75,80.89,79,5,4.9,light rain
17,Kaitangata,NZ,-46.28,169.85,62.01,75,100,1.99,overcast clouds
18,Port Alfred,ZA,-33.59,26.89,68.56,83,100,10.67,overcast clouds
19,Iqaluit,CA,63.75,-68.51,6.8,71,40,5.82,scattered clouds
20,Pontianak,ID,-0.03,109.33,76.75,88,100,1.9,moderate rain
21,Avarua,CK,-21.21,-159.78,71.6,88,95,9.17,moderate rain
22,Charters Towers,AU,-20.1,146.27,67.69,69,0,7.47,clear sky
23,Tchollire,CM,8.4,14.17,81.07,41,22,0.76,few clouds
24,Upernavik,GL,72.79,-56.15,17.98,96,100,8.01,light snow
25,Changde,CN,29.05,111.68,58.48,62,100,0.49,overcast clouds
26,Cape Town,ZA,-33.93,18.42,70.0,68,20,17.22,few clouds
27,Mataura,NZ,-46.19,168.86,60.01,92,100,10.0,overcast clouds
28,Saint George,US,37.1,-113.58,73.99,29,1,1.25,clear sky
29,Jamestown,US,42.1,-79.24,64.4,36,1,16.11,clear sky
30,Butaritari,KI,3.07,172.79,80.58,73,100,12.39,overcast clouds
31,Yamethin,MM,20.43,96.15,72.66,86,5,4.92,clear sky
32,Severo-Kurilsk,RU,50.68,156.12,36.52,89,96,27.22,overcast clouds
33,Council Bluffs,US,41.26,-95.86,73.0,43,40,6.93,scattered clouds
34,Yendi,GH,9.44,-0.01,85.55,40,100,4.14,overcast clouds
35,Ushuaia,AR,-54.8,-68.3,64.4,36,0,5.82,clear sky
36,Turukhansk,RU,65.82,87.98,8.83,93,38,10.83,scattered clouds
37,Yeroham,IL,30.99,34.93,68.0,22,0,9.1,clear sky
38,Hobart,AU,-42.88,147.33,45.0,65,20,6.85,few clouds
39,Derzhavinsk,KZ,51.1,66.32,33.96,85,0,10.54,clear sky
40,Vaini,TO,-21.2,-175.2,75.2,83,20,11.41,few clouds
41,Constitucion,CL,-35.33,-72.42,59.92,58,71,21.94,broken clouds
42,Mar Del Plata,AR,-38.0,-57.56,69.8,49,0,19.46,clear sky
43,Rocha,UY,-34.48,-54.33,65.61,57,0,13.2,clear sky
44,Morant Bay,JM,17.88,-76.41,77.0,94,75,24.16,shower rain
45,Bosaso,SO,11.28,49.18,76.05,56,0,2.98,clear sky
46,Punta Arenas,CL,-53.15,-70.92,46.4,81,90,4.7,overcast clouds
47,Deputatskiy,RU,69.3,139.9,-19.95,83,0,0.72,clear sky
48,Albany,US,42.6,-73.97,57.99,42,4,1.01,clear sky
49,Bluff,NZ,-46.6,168.33,60.01,92,79,10.0,moderate rain
50,Saint Anthony,US,45.02,-93.22,71.6,28,1,11.41,clear sky
51,Clyde,US,41.3,-82.98,71.6,35,1,13.87,clear sky
52,Bogande,BF,12.97,-0.14,88.52,24,0,8.81,clear sky
53,Cherskiy,RU,68.75,161.3,5.41,86,100,5.41,overcast clouds
54,Khandyga,RU,62.67,135.6,-3.73,92,100,2.08,light snow
55,Maceio,BR,-9.67,-35.74,84.2,70,0,10.29,clear sky
56,San Vicente,AR,-26.62,-54.13,79.02,24,0,6.64,clear sky
57,Kargil,IN,34.57,76.1,28.54,79,20,2.98,few clouds
58,Nikolskoye,RU,59.7,30.79,46.4,81,75,8.95,broken clouds
59,Port Elizabeth,ZA,-33.92,25.57,68.0,88,0,6.93,clear sky
60,Abu Dhabi,AE,24.47,54.37,80.6,65,0,3.36,clear sky
61,Ahuimanu,US,21.44,-157.84,82.4,78,90,6.93,overcast clouds
62,Esperance,AU,-33.87,121.9,48.2,87,90,6.93,overcast clouds
63,Santa Isabel,BR,-23.32,-46.22,73.4,60,40,10.29,scattered clouds
64,Victoria,HK,22.29,114.16,72.0,73,30,1.01,scattered clouds
65,Toamasina,MG,-18.17,49.38,75.2,83,40,4.7,scattered clouds
66,Touros,BR,-5.2,-35.46,86.0,58,20,17.22,few clouds
67,Japura,ID,-0.32,102.35,73.02,87,96,0.89,light rain
68,Saint-Pierre,RE,-21.34,55.48,73.4,56,75,11.41,broken clouds
69,Faanui,PF,-16.48,-151.75,79.61,79,94,16.53,overcast clouds
70,Axim,GH,4.87,-2.24,79.99,82,72,5.79,broken clouds
71,Vostok,RU,46.49,135.88,14.88,91,11,6.55,few clouds
72,Rikitea,PF,-23.12,-134.97,73.36,76,0,16.11,clear sky
73,Kapit,MY,2.02,112.93,74.59,94,100,1.81,light rain
74,Eureka,US,40.8,-124.16,68.0,77,90,3.36,overcast clouds
75,Carnarvon,AU,-24.87,113.63,69.8,94,0,14.99,clear sky
76,Cochabamba,BO,-17.39,-66.16,84.2,14,20,6.93,few clouds
77,Coquimbo,CL,-29.95,-71.34,59.0,77,90,12.75,overcast clouds
78,Ostrovnoy,RU,68.05,39.51,36.27,84,76,22.82,broken clouds
79,Prado,BR,-17.34,-39.22,71.8,89,100,6.87,moderate rain
80,Mahebourg,MU,-20.41,57.7,69.8,83,75,6.93,shower rain
81,Mineiros,BR,-17.57,-52.55,85.77,28,0,4.43,clear sky
82,Yellowknife,CA,62.46,-114.35,1.0,84,75,3.36,broken clouds
83,Goundam,ML,16.41,-3.67,89.47,14,8,4.79,clear sky
84,Aland,IN,17.57,76.57,69.06,47,0,9.15,clear sky
85,Paamiut,GL,61.99,-49.67,31.6,91,100,14.85,overcast clouds
86,Chokurdakh,RU,70.63,147.92,-14.19,84,0,5.84,clear sky
87,Tarare,FR,45.9,4.43,50.0,81,100,4.16,overcast clouds
88,Narsaq,GL,60.92,-46.05,30.2,80,75,5.64,broken clouds
89,Clyde River,CA,70.47,-68.59,5.0,65,75,17.22,broken clouds
90,Nelson Bay,AU,-32.72,152.15,64.4,82,90,4.7,light rain
91,Luderitz,NA,-26.65,15.16,62.98,86,92,13.04,overcast clouds
92,Kysyl-Syr,RU,63.9,122.76,0.88,93,88,4.72,overcast clouds
93,Hithadhoo,MV,-0.6,73.08,83.39,70,40,4.36,scattered clouds
94,Nuuk,GL,64.18,-51.72,26.6,100,75,5.82,shower rain
95,Churapcha,RU,62.0,132.43,-3.26,92,100,4.56,overcast clouds
96,Lagoa,PT,39.05,-27.98,60.82,73,4,18.16,clear sky
97,Dikson,RU,73.51,80.55,1.47,92,0,7.85,clear sky
98,Djibo,BF,14.1,-1.63,89.46,21,0,6.26,clear sky
99,Birjand,IR,32.87,59.22,46.4,13,0,4.7,clear sky
100,Hermanus,ZA,-34.42,19.23,68.0,78,100,7.0,overcast clouds
101,Igarka,RU,67.47,86.58,-0.11,90,67,9.82,broken clouds
102,Aiquile,BO,-18.2,-65.18,77.97,21,17,11.59,few clouds
103,Mitsamiouli,KM,-11.38,43.28,78.17,76,4,9.71,clear sky
104,Cabo San Lucas,MX,22.89,-109.91,88.0,58,5,3.36,clear sky
105,Basoko,CD,1.24,23.62,75.47,86,19,2.73,moderate rain
106,Itaituba,BR,-4.28,-55.98,89.6,62,40,2.86,light rain
107,Vanimo,PG,-2.67,141.3,78.48,83,100,4.68,very heavy rain
108,Atuona,PF,-9.8,-139.03,78.75,77,14,21.52,light rain
109,Gravdal,NO,68.12,13.5,41.0,86,75,10.29,broken clouds
110,Kapaa,US,22.08,-159.32,82.0,88,75,11.7,broken clouds
111,Ballina,AU,-28.87,153.57,60.01,93,62,8.03,broken clouds
112,Kichera,RU,55.94,110.1,20.88,91,100,2.75,overcast clouds
113,Bredasdorp,ZA,-34.53,20.04,66.2,88,42,10.29,scattered clouds
114,Thompson,CA,55.74,-97.86,26.6,100,90,3.36,overcast clouds
115,Fukuma,JP,33.77,130.47,42.8,87,0,4.7,clear sky
116,Santa Maria,BR,-29.68,-53.81,75.2,33,20,14.99,few clouds
117,Potsdam,DE,52.4,13.07,46.0,89,0,1.01,clear sky
118,Nichinan,JP,31.6,131.37,54.48,67,0,4.54,clear sky
119,Sao Joao Da Barra,BR,-21.64,-41.05,77.0,65,0,13.87,clear sky
120,Amurrio,ES,43.05,-3.0,53.01,81,40,1.12,scattered clouds
121,New Norfolk,AU,-42.78,147.06,45.0,66,0,1.01,clear sky
122,Nuoro,IT,40.32,9.33,64.4,82,75,2.24,broken clouds
123,Alihe,CN,50.57,123.72,17.01,92,0,2.66,clear sky
124,Libertador General San Martin,AR,-23.81,-64.79,95.0,20,0,5.01,clear sky
125,Saldanha,ZA,-33.01,17.94,64.4,77,88,3.36,overcast clouds
126,Kuching,MY,1.55,110.33,75.2,94,40,1.12,light rain
127,Caramay,PH,10.18,119.24,79.25,81,100,2.1,light rain
128,Kahului,US,20.89,-156.47,84.2,58,40,6.62,scattered clouds
129,Coahuayana,MX,18.73,-103.68,87.8,43,20,3.49,few clouds
130,Samana,DO,19.21,-69.34,87.8,66,20,6.93,few clouds
131,Serenje,ZM,-13.23,30.24,70.11,34,2,4.74,clear sky
132,Shimoda,JP,34.67,138.95,57.0,70,4,7.36,clear sky
133,Ilulissat,GL,69.22,-51.1,28.4,74,75,10.29,broken clouds
134,Boo,SE,59.33,18.28,44.6,87,40,9.17,scattered clouds
135,Fuerte Olimpo,PY,-21.04,-57.87,98.94,15,0,4.81,clear sky
136,Pisco,PE,-13.7,-76.22,66.99,77,0,11.41,clear sky
137,Krasnozerskoye,RU,53.98,79.24,33.03,89,100,22.97,overcast clouds
138,Chara,RU,56.91,118.26,10.72,83,100,1.32,overcast clouds
139,Harper,LR,4.38,-7.72,79.03,88,64,5.7,broken clouds
140,Hofn,IS,64.25,-15.21,48.2,57,40,33.33,scattered clouds
141,Ternate,ID,0.8,127.4,80.11,80,24,2.75,few clouds
142,Asau,RO,46.43,26.4,37.0,97,0,1.39,clear sky
143,Wuwei,CN,37.93,102.64,39.88,58,49,2.37,scattered clouds
144,Bethel,US,41.37,-73.41,62.01,38,1,9.17,clear sky
145,Saurimo,AO,-9.66,20.39,66.56,92,100,2.82,overcast clouds
146,Sabang,ID,5.89,95.32,81.52,75,100,3.33,overcast clouds
147,Alta Floresta,BR,-9.88,-56.09,93.2,52,20,4.7,few clouds
148,Lata,PT,40.16,-8.33,57.0,76,100,8.01,overcast clouds
149,Norman Wells,CA,65.28,-126.83,-5.8,76,75,2.24,light snow
150,Roald,NO,62.58,6.13,46.4,81,75,21.92,light intensity shower rain
151,Lumberton,US,34.62,-79.01,69.8,37,1,9.17,clear sky
152,Barrow,US,71.29,-156.79,26.6,73,75,26.4,haze
153,Bilibino,RU,68.05,166.44,4.62,91,100,5.61,overcast clouds
154,Iquique,CL,-20.22,-70.14,68.0,52,0,19.46,clear sky
155,Tuktoyaktuk,CA,69.45,-133.04,10.4,85,90,11.41,light snow
156,Kwinana,AU,-32.25,115.77,57.99,62,4,14.99,clear sky
157,Sarakhs,IR,36.54,61.16,51.8,32,0,2.24,clear sky
158,Tres Picos,MX,15.87,-93.53,86.67,50,100,12.55,overcast clouds
159,Matamoros,MX,25.53,-103.25,77.0,20,5,4.72,clear sky
160,Bengkulu,ID,-3.8,102.27,75.49,87,100,4.76,heavy intensity rain
161,Goderich,CA,43.75,-81.72,62.6,48,0,17.22,clear sky
162,Karratha,AU,-20.74,116.85,73.08,45,0,8.34,light rain
163,Severobaykalsk,RU,55.65,109.32,22.59,90,86,6.69,overcast clouds
164,Ordzhonikidze,KZ,52.44,61.74,39.33,74,8,11.01,clear sky
165,Airai,TL,-8.93,125.41,61.3,83,67,2.33,broken clouds
166,Guerrero Negro,MX,27.98,-114.06,82.0,37,0,10.49,clear sky
