City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint George,US,2020-11-03 19:05:54,37.1,-113.58,75.0,40,1,3.36
1,Lund,SE,2020-11-03 19:02:20,55.71,13.19,50.0,81,90,10.29
2,Castro,BR,2020-11-03 19:05:55,-24.79,-50.01,71.01,41,66,3.94
3,Atuona,PF,2020-11-03 19:05:55,-9.8,-139.03,77.85,71,0,18.05
4,Saskylakh,RU,2020-11-03 19:05:56,71.92,114.08,-1.32,92,95,3.85
5,Vardo,NO,2020-11-03 19:03:06,70.37,31.11,37.4,73,0,24.16
6,Kapaa,US,2020-11-03 19:05:56,22.08,-159.32,80.6,78,40,11.41
7,Esperance,AU,2020-11-03 19:05:57,-33.87,121.9,51.8,93,0,3.36
8,Cape Town,ZA,2020-11-03 19:02:48,-33.93,18.42,68.0,88,20,16.11
9,Soyo,AO,2020-11-03 19:05:57,-6.13,12.37,79.21,84,39,9.66
10,Norman Wells,CA,2020-11-03 19:05:57,65.28,-126.83,-4.0,83,75,4.7
11,Sorsogon,PH,2020-11-03 19:05:57,12.97,123.99,79.3,82,100,3.29
12,Vaini,TO,2020-11-03 19:05:57,-21.2,-175.2,73.4,94,20,9.17
13,Micheweni,TZ,2020-11-03 19:05:58,-4.97,39.83,78.19,79,0,10.33
14,Port Moresby,PG,2020-11-03 19:05:58,-9.44,147.18,77.0,88,75,3.36
15,Tuktoyaktuk,CA,2020-11-03 19:05:58,69.45,-133.04,10.4,92,90,13.87
16,Kudahuvadhoo,MV,2020-11-03 19:05:58,2.67,72.89,83.16,70,42,6.89
17,Qaanaaq,GL,2020-11-03 19:05:58,77.48,-69.36,4.55,83,4,4.7
18,Baker City,US,2020-11-03 19:05:58,44.77,-117.83,51.8,40,1,6.51
19,Hermanus,ZA,2020-11-03 19:05:59,-34.42,19.23,66.99,83,22,11.88
20,Mount Isa,AU,2020-11-03 19:05:59,-20.73,139.5,71.6,37,47,5.82
21,Pocone,BR,2020-11-03 19:05:59,-16.26,-56.62,95.74,25,0,4.65
22,Barrow,US,2020-11-03 19:06:00,71.29,-156.79,10.4,78,75,13.87
23,Bredasdorp,ZA,2020-11-03 19:06:00,-34.53,20.04,68.0,82,92,5.82
24,Karasjok,NO,2020-11-03 19:06:00,69.47,25.51,39.2,64,0,29.97
